Song,Published Date,Spotify Total Streams,Before 2017-09-09 ,2017-09-09 - 2018-09-09,2018-09-09 - 2019-09-09,2019-09-09 - 2020-09-09,2020-09-09 - 2021-09-09,2021-09-09 - 2022-09-09,2022-09-09 - 2023-09-09,2023-09-09 - 2024-09-09
Get Down,2017-01-18,3.837,0,0,0,0,0,0,0,3.837
Mr. Right,2017-01-18,2.716,0,0,0,0,0,2.146,236,334
Yêu Không Nghỉ Phép,2017-01-18,209.386,0,0,0,0,0,0,0,209.386
Gia Ngay Dau Dung Noi Thuong Nhau,2018-09-09,3.063.371,0,0,0,0,0,2.133.627,492.967,436.777
Gia Ngay Dau Dung Noi Thuong Nhau - Instumental,2018-09-09,15.437,0,0,0,0,0,0,0,15.437
Anh Sẽ Về Sớm Thôi,2019-07-03,554.106,0,0,0,0,0,365.415,85.880,102.811
Bước Chân Cổ Tích,2019-07-03,9.286,0,0,0,0,0,0,0,9.286
Do Em Quá Tệ,2019-07-03,15.965,0,0,0,0,0,0,0,15.965
Mr. Right (Khi Anh Yêu Em),2019-07-03,134.726,0,0,0,0,0,0,0,134.726
Mr. Right (Khi Anh Yêu Em) (Dance Version),2019-07-03,7.446,0,0,0,0,0,0,0,7.446
Ta Đã Yêu Như Vậy,2019-07-03,81.757,0,0,0,0,0,11.738,14.467,55.552
Tôi Đã Quên Thật Rồi,2019-07-03,1.178.723,0,0,0,0,70.631,256.386,261.771,589.935
Tắt Đèn,2019-07-03,366.418,0,0,0,0,0,207.684,79.143,79.591
Đau Đầu,2019-07-10,1.166.339,0,0,0,0,0,0,0,1.166.339
Đau Đầu - Instrumental,2019-07-10,1.131,0,0,0,0,0,0,0,1.131
Get Down,2019-07-18,15.080,0,0,0,0,0,0,0,15.080
Giá Ngày Đầu Đừng Nói Thương Nhau,2019-09-25,3.055.582,0,0,0,0,0,0,0,3.055.582
Yêu Không Nghỉ Phép,2019-09-25,329.129,0,0,0,0,0,43.486,68.462,217.181
Anh Em Ta Là Cái Gì Nào,2019-12-27,38.421,0,0,0,0,0,0,0,38.421
Chuyện Buồn Tháng Ba,2020-04-07,31.214,0,0,0,0,0,0,0,31.214
Lỗi Định Mệnh,2020-04-15,60.823,0,0,0,0,0,0,0,60.823
Giá Ngày Đầu Đừng Nói Thương Nhau (Acoustic),2020-09-15,6.642,0,0,0,0,0,0,0,6.642
Cá Cắn Câu (Hooked On Love) (feat. ISAAC),2020-09-24,118.090,0,0,0,0,0,0,0,118.090
2 Giờ Chiều,2020-09-30,21.543,0,0,0,0,0,0,0,21.543
Cất Em Vào Tâm Tư,2020-10-15,99.115,0,0,0,0,0,0,0,99.115
Tôi Đã Quên Thật Rồi (Hát Cho Em - The Show),2021-12-09,10.944,0,0,0,0,0,0,0,10.944
Đau Đầu (Hát Cho Em - The Show),2021-12-09,6.255,0,0,0,0,0,0,0,6.255
Yêu Dại Khờ,2021-12-09,11.690,0,0,0,0,0,0,0,11.690
Yêu Làm Chi,2021-12-09,20.460,0,0,0,0,0,7.000,7.568,5.892
Anh Yêu Em Nhiều Lắm,2021-12-09,198.794,0,0,0,0,0,47.180,69.923,81.691
Yêu Làm Chi - Rain Version,2021-12-09,20.460,0,0,0,0,0,0,0,20.460
Anh Yêu Em Nhiều Lắm -- Rain Version,2021-12-09,198.794,0,0,0,0,0,0,0,198.794
Phải Chi Lúc Trước Anh Sai,2022-05-09,77.087,0,0,0,0,0,55.658,13.776,7.653
Day Dứt Nỗi Đau,2022-05-12,53.520,0,0,0,0,0,21.508,19.059,12.953
Một Bước Yêu Vạn Dặm Đau,2022-05-16,37.481,0,0,0,0,0,8.974,18.475,10.032
Ngồi Yên Anh Sang Ngay,2022-08-16,98.340,0,0,0,0,0,20.032,67.372,10.936
Ngồi Yên Anh Sang Ngay (RnB Version),2022-08-31,18.737,0,0,0,0,0,0,12.258,6.479
Khung Trời Ngày Xưa (25th Làn Sóng Xanh),2022-11-03,212.281,0,0,0,0,0,0,113.189,99.092
Vượt Qua Everest,2022-12-20,146.079,0,0,0,0,0,0,114.640,31.439
Vượt Qua Everest - Beat,2022-12-20,3.523,0,0,0,0,0,0,0,3.523
Xa Em Vài Hôm,2023-10-02,48.578,0,0,0,0,0,0,0,48578
I.C.O.N,2024-08-06,690.299,0,0,0,0,0,0,0,690.299
DON'T CARE,2024-08-06,1.519.740,0,0,0,0,0,0,0,1.519.740
HÍT DRAMA,2024-08-06,464.085,0,0,0,0,0,0,0,464.085
NGÂN NGA,2024-08-29,817.174,0,0,0,0,0,0,0,817.174
WALK,2024-08-26,976.935,0,0,0,0,0,0,0,976.935
KIM PHÚT KIM GIỜ,2024-08-26,1.908.898,0,0,0,0,0,0,0,1.908.898
