Song,Published Date,YouTube Views,Before 2015-09-09,2015-09-09 - 2016-09-09,2016-09-09 - 2017-09-09,2017-09-09 - 2018-09-09,2018-09-09 - 2019-09-09,2019-09-09 - 2020-09-09,2020-09-09 - 2021-09-09,2021-09-09 - 2022-09-09,2022-09-09 - 2023-09-09,2023-09-09 - 2024-09-09
Get Down,2016-11-09,3.667.883,0,0,2.910.136,487.798,109.377,68.200,31.073,29.285,17.206,14.808
Mr. Right,2015-07-04,3.238.641,847.964,750.067,610.432,321.931,218.174,199.096,69.328,72.722,74.558,74.369
Yêu Không Nghỉ Phép,2017-01-18,0,0,0,0,0,0,0,0,0,0,0
Gia Ngay Dau Dung Noi Thuong Nhau,2018-09-09,18.683.857,0,0,0,0,12.574.190,3.812.251,1.145.365,659.860,321.197,170.994
Gia Ngay Dau Dung Noi Thuong Nhau - Instumental,2018-09-09,0,0,0,0,0,0,0,0,0,0,0
Anh Sẽ Về Sớm Thôi,2017-04-05,38.864.861,0,0,25.950.510,6.058.545,2.931.872,1.482.107,706.726,634.870,598.501,501.730
Bước Chân Cổ Tích,2017-06-19,11.327.763,0,0,5.088.635,3.466.506,1.966.476,652.174,42.817,38.827,46.955,25.373
Do Em Quá Tệ,2019-07-03,0,0,0,0,0,0,0,0,0,0,0
Mr. Right (Khi Anh Yêu Em),2015-07-25,423.900,137.213,116.078,62.083,8.707,31.207,19.778,13.839,16.099,4.930,13.966
Mr. Right (Khi Anh Yêu Em) (Dance Version),2019-07-03,0,0,0,0,0,0,0,0,0,0,0
Ta Đã Yêu Như Vậy,2017-08-03,2.714.944,0,0,0,2.191.448,269.618,116.160,49.611,38.439,26.930,22.738
Tôi Đã Quên Thật Rồi,2018-05-16,43.876.335,0,0,0,27.982.350,6.598.979,4.376.711,1.696.191,1.348.186,1.034.993,838.925
Tắt Đèn,2015-06-24,703.617,40.393,26.840,44.159,22.884,162.203,115.898,77.522,83.078,77.084,53.556
Đau Đầu,2019-07-17,10.392.522,0,0,0,0,6.791.062,2.684.025,547.539,178.957,104.210,86.729
Đau Đầu - Instrumental,2019-07-10,0,0,0,0,0,0,0,0,0,0,0
Get Down,2019-07-18,0,0,0,0,0,0,0,0,0,0,0
Giá Ngày Đầu Đừng Nói Thương Nhau,2019-09-25,0,0,0,0,0,0,0,0,0,0,0
Yêu Không Nghỉ Phép,2019-09-26,694.028,0,0,0,0,0,154.239,272.208,201.052,21.730,44.799
Anh Em Ta Là Cái Gì Nào,2019-12-16,4.376.408,0,0,0,0,0,4.113.707,152.183,57.411,36.822,16.285
Chuyện Buồn Tháng Ba (Lyrics Video),2020-04-03,70.044,0,0,0,0,0,53.990,6.812,2.933,,6.309
Lỗi Định Mệnh,2020-04-15,0,0,0,0,0,0,0,0,0,0,0
Giá Ngày Đầu Đừng Nói Thương Nhau (Acoustic),2020-09-09,229.222,0,0,0,0,0,0,194.437,26.224,2.838,5.723
Cá Cắn Câu (Hooked On Love) (feat. ISAAC),2020-09-24,0,0,0,0,0,0,0,0,0,0,0
2 Giờ Chiều,2020-08-18,1.762.583,0,0,0,0,0,1.331.234,397.308,20.023,9.272,4.746
Cất Em Vào Tâm Tư,2020-10-13,5.103.779,0,0,0,0,0,0,4.893.516,112.548,60.059,37.656
Tôi Đã Quên Thật Rồi (Hát Cho Em - The Show),2021-12-05,197.758,0,0,0,0,0,0,0,181.980,8.254,7.524
Đau Đầu (Hát Cho Em - The Show),2021-12-08,68.888,0,0,0,0,0,0,0,68.888,0,0
Yêu Dại Khờ,2021-12-17,58.984,0,0,0,0,0,0,0,47.386,6.751,4.847
Yêu Làm Chi,2021-12-14,81.346,0,0,0,0,0,0,0,65.606,15.740,0
Anh Yêu Em Nhiều Lắm,2021-12-12,341.040,0,0,0,0,0,0,0,285.272,33.515,22.253
Yêu Làm Chi - Rain Version,2021-12-05,0,0,0,0,0,0,0,0,0,0,0
Anh Yêu Em Nhiều Lắm -- Rain Version,2021-12-05,0,0,0,0,0,0,0,0,0,0,0
Phải Chi Lúc Trước Anh Sai,2022-05-09,736.702,0,0,0,0,0,0,0,703.142,22.987,10.573
Day Dứt Nỗi Đau,2022-05-14,1.002.310,0,0,0,0,0,0,0,883.018,61.897,57.395
Một Bước Yêu Vạn Dặm Đau,2022-05-20,694.883,0,0,0,0,0,0,0,627.772,49.733,17.378
Ngồi Yên Anh Sang Ngay,2022-08-16,5.416.569,0,0,0,0,0,0,0,3.662.201,1.700.687,53.681
Ngồi Yên Anh Sang Ngay (RnB Version),2022-08-31,1.108.504,0,0,0,0,0,0,0,67.500,965.411,75.593
Khung Trời Ngày Xưa (25th Làn Sóng Xanh),2022-11-03,0,0,0,0,0,0,0,0,0,0,0
Vượt Qua Everest,2022-12-20,3.810.885,0,0,0,0,0,0,0,0,3.716.215,94.670
Vượt Qua Everest - Beat,2022-12-20,8.129,0,0,0,0,0,0,0,0,4.091,4.038
Xa Em Vài Hôm,2023-10-02,0,0,0,0,0,0,0,0,0,0,0
